1230,23.1
78,31.8
147,32
100,32.1
172,33.3
1320,34
120,33.6
1830,34.5
35.8,33.4
610,34
98,34.3
754,33.7
98,34.8
43,35.3
7,34.8
98,35.4
690,35.4
100,36.2
720,36.1
3730,36.9
780,36.6
180,35.7
7,35.7
1180,36.9
11,35.9
9,35.8
1700,37.2
2300,37.3
11,35.9
190,36.1
14,36.1
90,36.8
1380,36.3
34,37.5
60,36.5
100,37.6
1230,39.5
215,37.1
10,37.5
160,37.3
2250,39.2
2580,38.5
143,37.8
750,38.9
225,37.7
1120,38.8
500,38.9
2270,39.7
2170,39.5
45,39.1
2170,39.8
300,39.3
200,38.8
18,40.3
40,39
210,39.3
57.5,38.5
1960,40.2
215,39.3
420,38.9
500,39
3900,40.4
450,40
60,39.7
137,40.5
2060,40.6
60,40.3
1000,40.5
2190,41
178,41.9
144,39.8
45,40.9
2500,41.3
692,40.4
57.7,39.7
830,41.3
149,42.3
65.2,41.5
105,40.1
33300,41.3
47200,41.5
12,41.5
2510,41.6
70,41.1
705,41.3
2390,41.8
1400,41.4
1360,41.5
35400,41.7
65.3,42
1540,41.9
110,40.7
1480,42.1
121,42.4
880,42.1
440,40.8
2430,41.8
30900,41.9
136,42.4
2370,40.8
13,42.7
133,43.1
132,40.4
37500,42.6
2060,43.7
9210,43.3
2430,42.2
146,42.9
13,43.1
184000,42.9
136,43
1330,43.4
442,43.6
150,41.9
31000,41
1790,43.4
29800,43.4
190000,43.3
1900,43.4
126,43.2
128,43.5
2620,44.5
2,43.8
37100,43.4
1070,43.5
6430,43.7
9230,43.2
8660,43.7
2220,43.9
78,44.2
2,44.1
1220,44.1
6610,44
2220,44.2
42200,42.1
2190,43.9
80,44.1
205000,44.1
125,44.6
4070,44
2,44.4
1240,43.1
950,44.2
135,44.3
1900,43.8
40,43.9
5100,44.1
28,44.7
980,44.6
2510,44.7
2420,44.8
47900,42.7
49000,44.6
33,45
47,44.6
1020,44.9
82,45.9
3080,45.5
2450,43.6
135,44.1
4010,44.8
2430,44.5
1440,45.2
4030,44.7
7820,45.5
44000,43
33,45.1
143,45.2
2420,45.6
7340,44
2510,45.6
170,44.2
6450,45.7
48,45.8
1230,46.5
48,45.3
11600,45.1
58.5,43.8
134,45.7
