1230,22.4
250,30.4
87,32.4
1230,30.5
70.9,29
89,29.2
1230,27
84,30.2
1230,31.3
1230,23.8
104,29.4
200,30
150,29.7
81,30
1230,25.9
62,36.9
394,38.4
2150,36.9
115,32.7
155,36.6
6,35.6
2070,41.2
71,36.1
40,38.4
388,40.3
500,39.6
120,36.6
44,36.7
105,32.3
381,36.3
44,38.3
700,37
1230,39.7
8,35.3
4190,40.8
145,35.2
69.5,33.1
830,39.8
125,33.3
2750,38.6
650,34.7
2450,37.8
10,40.4
75,39.1
69,44.5
2600,38.2
750,39.3
198,38.6
135,34.1
69.6,33.5
550,40.1
96,39.6
5,40.1
2250,38.8
2230,37.5
150,37.3
4380,38.3
78,38.6
460,40.6
394,37.6
47,36.4
98,40.2
66.2,39.4
394,38
242,41.1
530,40.4
100,39.9
69.8,36.5
45100,41
95,39.1
150,35.9
180,39.3
27,41
70.7,38.1
9220,41.2
190,39.2
8110,39
15,38.5
68,37.5
20,39.4
100,38.9
170,39.2
7110,38.6
110,40.6
250,39.2
530,32.6
45,38.9
69.7,35.2
98,37.1
1400,40.7
2820,36.1
70.1,38.5
900,40.6
300,30.9
543,41.5
200,37.9
2230,38.4
64,38.2
270,39.4
510,39.5
440,35.9
2230,39.6
510,36.4
2240,41.3
300,35.3
75,38.2
70.6,38.4
694,40.7
5,35.6
165,38
280,39.7
100,36.5
300,40.1
500,36.2
1230,41.6
44,37.5
1610,40.4
98,33.8
67.9,32.7
3.77,34.7
43,33.9
140,34.7
110,39.4
2380,38.1
570,39.4
69.7,35.7
120,33
1380,37
67.7,38.3
61,36.7
17,39
550,37.5
14,36.2
43,34.8
392,39.9
902,40.1
135,36.9
69.6,34.8
393,39.2
70.3,40.9
200,34.9
68.8,40.6
350,39.5
6400,38.2
3.4,33
30,41.6
400,35.7
70.9,35.6
37,33.6
600,39.7
2.88,37.6
1230,42.3
71,41.2
45,40
2180,37.8
71.1,40.2
69.6,34.4
66.1,39.9
581,36.4
50,39.4
750,39.7
4380,34.4
570,33.3
71.2,37.9
72,39.9
210,39
2230,37.7
67.8,39.4
34,37
81,37.3
90,36.1
2980,39.3
3180,39.7
65,37.2
550,39.3
8,36.3
3300,39.5
1610,40
1780,37.4
1610,39.2
4250,41.2
12,40.8
1650,35.3
69.6,33.1
1610,38.6
2230,40.6
1410,40.4
926,40.7
242,40.9
28,40.8
2.85,34.3
170,39.2
55,39.8
550,39.9
71.1,37.4
110,32.5
600,38.4
610,40.1
71,35.5
2230,38.7
5300,37.8
500,36.6
23,39.9
29,36
44,36
3.39,34
110,41.1
1300,40.8
69.7,36.1
380,35.7
3600,39.9
1610,40.1
810,39
770,37.6
63,38
490,32
3,39.7
392,39.6
450,39.8
393,38.8
27,41
562,41.1
70.2,35.5
64,38.8
790,38.3
8,36.9
20,38.2
110,40.9
2950,39.1
2.88,39.2
2.88,36.9
65,40.7
18,40.5
101,40.3
8,35.8
2240,38
34,36.5
2000,35.7
68.1,35.3
390,40.1
64,39.3
68.1,36.4
1230,36
2.88,38.4
130,33.7
12,41.1
780,40.5
110,36.5
43,34.3
320,38.3
800,40.9
66,40.5
980,36.7
71.1,37.3
3000,36.5
3580,40.7
90,40.7
2250,39.8
75,35.4
66,39.9
110,41.4
74,37.8
63.3,39.1
28,40.6
4.37,35.2
1610,38.9
480,40.1
69.5,39.5
910,37.8
110,39.8
1230,35.7
200,34.4
69.7,34.3
800,34.9
550,37
450,31.4
25,40.4
250,39.3
600,37.9
1980,37.6
71,39
98,34
75,38.6
780,40.1
244,40.7
71,38.3
5.11,35.7
2780,38.9
310,40.8
170,38.6
1580,37.2
150,34
12,36
2230,40.1
2240,40.8
2230,38
750,36.8
4500,37.4
1610,40.7
585,38.9
110,41.8
200,36.6
650,40.1
480,38.4
3380,40.2
35,38
250,39.2
69.8,36.9
4170,42.5
110,41.5
7270,48.6
1990,48.3
2240,45.8
2240,48.5
52000,42.3
110,47.3
2240,45.3
13000,46.8
3040,49.9
2240,43.2
2240,43.8
146,50.5
19000,50
78800,47.8
4570,43.3
3850,52.4
71,46.2
14,45
2830,42.7
1700,47.5
19,51.7
45.1,49.6
1550,48.1
59700,48.2
14,44.6
3050,48.9
2800,48.8
86,49
2240,44
5500,46.4
43300,49.8
9500,47.2
5200,42.7
120,49.1
330,41.5
135,48.6
4380,42.2
110,45.9
1570,51.4
88,48.1
53700,42.7
9230,41.8
2240,46.3
3670,51.2
4000,43.2
1750,47.7
18300,47
110,50.1
5650,44.5
2240,47.2
110,49.8
326,48
360,43.5
67.1,46
150,48.8
10,48.5
91100,50.8
110,42.9
130,48.3
39400,43.9
35,45.8
750,46.8
4,46.2
90,49
3800,48.6
16700,46.2
1400,43.9
2240,44.1
110,45.9
9220,41.5
52900,47.5
12100,40.5
110,51.3
110,48.1
2240,45
49400,51.2
158,42.7
2830,45.4
69.5,40.4
5210,45.5
2000,46.2
85,48.6
82,48.7
110,51.7
247000,51.4
1950,49.7
2240,46.3
1050,49.8
11000,46.2
55600,46.9
2290,46.6
21000,47.7
2090,49.8
1470,50.6
110,46.3
4,45.6
44.7,48.1
640,42.7
46,46.8
2760,47.4
380,45.8
13400,47.2
2240,46.6
110,49.9
3830,52
57.7,50.1
2850,51
4,46.1
1990,47.7
84,50.5
2040,44.8
2240,43.1
2240,43.5
60,53.8
120,48.2
162,43.2
52500,50.1
5190,49.4
2520,45.9
940,42
7700,50.6
1610,42.8
5200,49
2830,43.1
50900,48.8
1800,45.5
3870,52.3
1520,45.8
110,51.1
1440,51.9
2240,50.1
3,44.9
70.4,41.2
1250,49.7
24.6,42.5
3640,50.9
2240,44.2
1740,44.9
158,42.3
38300,50.5
66.7,47.7
1470,49.6
30,48
2900,42.3
670,42.9
180,50.3
1000,51.4
4380,49.8
43,45.6
46600,44.2
1660,47.1
110,47.3
340,42.5
1730,50.9
5210,47.7
2550,49.5
2150,47.9
2240,43.3
3,49.8
4,45.8
12800,49.9
3370,50.6
1670,47.2
54300,45.2
940,42.9
120,50.1
2240,47.6
67900,46.7
3860,45.2
70.9,45.4
120,50.4
89800,48
2240,44.5
3170,49.5
4960,43.8
1990,46.2
515,40.9
2,44.4
1280,49.6
2220,43.6
1000,41.3
2240,47.2
20.2,49.1
110,50.2
1630,47
24.9,44
110,46.2
1880,47.7
2060,49.3
247000,51.5
52700,50.6
1950,44.8
51500,49.2
222000,51.5
2240,48.7
55,46.3
46600,46.3
12300,47.3
222000,51.5
252000,49.7
53000,51.8
2240,43.6
2240,46.9
43,50
5210,51.8
350,48.3
4380,44.1
130,49
5530,44.9
5340,50.9
120,49.6
82,48
1580,44.3
67,44.5
3240,48.6
2660,47.3
42300,44.3
1530,46.9
304,48.7
233000,51.5
46,42.6
121,40.5
205000,44.1
13100,44
15,45.4
2830,43.5
2480,49.2
2240,45.5
12100,40.1
17000,48.4
107000,46.9
70,49.2
71.1,47.9
120,50.7
37.8,50.9
1260,50.3
1500,47.1
320,49.8
92,48.6
33300,44
110,47.8
239000,51.5
46,44.3
4870,46.1
65.4,43.1
144000,49.3
16600,45.9
67.5,48.4
5190,48.7
1390,47.8
1360,44.8
2250,46
2080,50.9
110,42.7
10700,44.4
110,49
1780,47.6
11800,48.8
69.5,43.5
15100,49.7
120,48.2
170,48.1
19,50.6
3860,46.1
14500,47.5
5480,50.1
110,50.5
225000,45.3
125,52.5
14000,46.9
1230,44.4
653,50.7
7500,49.9
13200,48
5330,50.8
110,49.4
2240,48.4
2470,48.5
2830,42.4
400,46.9
2800,48.7
110,47
1170,43.9
255000,51.1
2400,47.2
38500,51
33,45.5
463000,51.6
650000,48.3
3940,47.2
3650,50.5
110,48.9
1290,44.4
94,49.2
1000,49.4
95,49.4
2010,42.9
3140,44.3
2400,47.8
132,50.8
5200,46
16100,47
89.2,46.7
2240,44
20,50
2520,47.4
67800,45
813,43.5
80,47.3
89100,49.1
110,40.1
52000,49.8
6950,49.6
500,52
2,52
110,49.4
10300,43.7
10000,45.5
70.4,41.5
254000,50.4
1060,45.6
255000,51.3
22.8,47
140,50.7
4910,47.9
25.1,44.8
1130,43.7
9420,44.1
25,50.7
145,47
56400,47.4
39500,50
1470,47.3
110,49.7
110,51.5
44,48.5
72,41.8
3930,49.1
66,48.5
20,47.8
2220,48.5
2240,48.2
3640,50.1
110,50.5
940,42.7
2240,46.4
1410,48.9
95,47.2
16700,47
1910,45.5
2230,47.9
110,43.8
1500,47.1
30,41.9
197000,43.7
70.3,42.4
2350,41.9
96500,51
163,49.7
8400,46.6
81300,49.6
40600,51.2
143000,47.9
6420,49
309,50.1
1800,47.5
2400,45.2
241000,47.9
225000,51.3
1030,43.3
2240,45.3
249000,48.3
2240,48
2470,47.1
50300,45.9
700,43.3
1930,43.7
740,50.1
12800,47.3
70.2,41.7
2240,50.4
11200,47.4
4,46.1
109,43.8
10100,47.3
850,48
1070,42.5
8100,50.4
4770,47.7
1400,50.5
117000,47.5
2770,49.8
100,50.2
1510,48.5
234000,45.8
89,48
307,49.4
71.1,42.5
37,45.2
43000,51.4
13900,47.2
1050,42.4
157000,49.9
3200,49.6
1990,45.9
3850,47.6
3700,49.1
100,50.1
5200,51.7
1900,50.5
3870,52.2
27300,47.8
2240,48.4
1020,50.5
800,41.3
16800,47
70.5,41
1050,44
250,49.8
1050,44.5
68,49.9
2240,49.6
130,48.9
130,50.6
16900,47.3
900,46.4
67600,46.5
127000,51.8
110,45
2890,49.8
1840,48.1
130,53.1
33,42.6
18,50.2
1300,42.4
95,46
765000,49.9
28,50.7
2240,45.7
5210,46.6
110,42.5
1210,42.7
2840,49.4
130,49.3
55900,48.4
1070,43
1580,46
1300,48.8
57,47.3
110,49.4
1150,50.6
233000,51.5
110,50.5
2240,44.5
63,51.6
1560,47.6
2240,50.4
69.5,43.5
1610,42.4
110,50.2
2000,48.2
145,50.1
12100,50.3
59300,44
15,45.4
1550,46.5
2500,46.2
250000,49
21.9,48.3
350,51.4
23.7,50.8
14300,50.5
213000,44.5
1170,50.1
67.1,46.8
53500,47.5
1850,51.7
110,47.9
2240,47.4
11700,48.6
3000,50.7
1090,43
2100,46.6
110,42.5
1150,50
239000,51.5
2240,42.3
31,43.3
1990,52.1
2240,50.6
540,47.4
400,42.7
1410,45.3
110,50.3
1060,45.3
4,50.6
252000,49.7
113000,50.5
200,51
2240,45.6
15,45.8
180000,42.4
3800,51
2240,49.9
2420,47.6
110,49.3
4990,48.4
3910,49.2
51300,45
3690,50.2
386,51
160,45.4
2240,43.2
95,41
2100,44.3
251000,49.4
3200,51.6
14300,50.2
84,49.5
840,50.5
95,44.4
37,46
3930,48.7
4300,51.1
89.2,48.4
2830,42.1
50,51.3
1480,50.5
1470,48.7
60.8,45.5
2240,50.5
17,48.2
59400,48.1
4860,47.4
1800,47
17,48.7
1000,49.2
53800,46.5
95,44.6
98,49.7
41200,43.4
67,45.3
11700,48.6
5,50.6
110,50.5
107000,46.6
66,46.6
54000,44.3
46100,44.7
80,46.2
200,47.2
3,45.1
2410,45.7
5020,45.9
900,48.6
86,47.4
15,48.5
2690,49.6
3940,48.4
76,43.4
147,46.3
225000,51.3
50,45.9
48000,43.6
1950,45.3
700,47.1
216000,44.9
2080,50.3
5210,45.2
1950,44.2
2250,49.7
230000,51.5
85,44.6
2240,47.6
249000,48.3
1500,46.2
213000,44.5
105000,50.1
69.6,47.4
45,47.7
3000,47.1
110,48.2
251000,49.4
1230,43.9
458,47.1
290,49.7
300,44.1
16900,48.8
4,48
65.7,41.4
250000,49
2240,49.5
95800,48.9
110,50.5
200,48.7
31,44.6
16,46.8
38300,50.7
3400,48
1130,49.7
360,48.5
2240,46.1
3100,45.1
28000,48.7
8000,50.1
10,44.7
1560,50.9
14,44.2
194,51.2
67.2,45.7
69.8,49.7
3860,46.6
85,51.6
65200,45.4
110,45.4
823000,51
1650,46.3
